iter	Passed	Remaining
292	708	1710
293	711	1707
294	713	1704
295	719	1711
296	722	1709
297	732	1725
298	735	1723
299	737	1720
300	739	1717
301	741	1714
302	743	1711
303	746	1708
304	748	1705
305	750	1702
306	752	1699
307	754	1695
308	761	1703
309	764	1701
310	766	1698
311	768	1695
312	771	1692
313	773	1689
314	775	1687
315	778	1684
316	780	1681
317	782	1678
318	784	1675
319	787	1672
320	789	1669
321	791	1666
322	793	1663
323	795	1660
324	797	1656
325	800	1654
326	802	1650
327	805	1649
328	808	1647
329	810	1645
330	812	1642
331	814	1639
332	816	1635
333	818	1632
334	821	1629
335	823	1627
336	825	1624
337	828	1622
338	830	1619
339	832	1616
340	836	1616
341	838	1613
342	840	1610
343	842	1606
344	844	1603
345	846	1600
346	848	1597
347	851	1594
348	853	1592
349	855	1589
350	857	1586
351	859	1582
352	862	1580
353	864	1577
354	866	1575
355	869	1572
356	871	1569
357	873	1566
358	875	1563
359	877	1560
360	880	1558
361	882	1555
362	885	1553
363	887	1551
364	890	1548
365	892	1546
366	900	1552
367	902	1550
368	905	1547
369	907	1545
370	910	1543
371	912	1541
372	915	1538
373	917	1535
374	919	1532
375	921	1529
376	923	1526
377	926	1523
378	928	1521
379	931	1519
380	934	1518
381	936	1515
382	939	1513
383	941	1510
384	943	1507
385	945	1504
386	947	1501
387	950	1498
388	952	1495
389	954	1493
390	957	1491
391	959	1488
392	961	1485
393	963	1482
394	965	1479
395	968	1476
396	970	1474
397	972	1470
398	974	1468
399	976	1465
400	979	1462
401	981	1460
402	985	1459
403	988	1457
404	991	1457
405	993	1454
406	996	1451
407	998	1449
408	1000	1446
409	1003	1443
410	1005	1441
411	1008	1438
412	1010	1436
413	1012	1433
414	1015	1431
415	1017	1428
416	1020	1426
417	1022	1423
418	1025	1421
419	1027	1419
420	1030	1416
421	1032	1414
422	1035	1412
423	1037	1409
424	1040	1407
425	1047	1410
426	1050	1409
427	1052	1406
428	1054	1404
429	1058	1403
430	1061	1401
431	1064	1398
432	1066	1396
433	1069	1394
434	1071	1391
435	1076	1392
436	1078	1389
437	1081	1387
438	1083	1384
439	1085	1381
440	1088	1379
441	1093	1380
442	1098	1381
443	1100	1378
444	1103	1375
445	1106	1373
446	1108	1371
447	1110	1368
448	1112	1365
