iter	Passed	Remaining
234	712	2319
235	714	2312
236	716	2306
237	718	2300
238	720	2295
239	722	2289
240	724	2282
241	726	2275
242	728	2268
243	729	2261
244	731	2254
245	733	2247
246	735	2242
247	737	2236
248	739	2230
249	741	2224
250	743	2219
251	745	2213
252	748	2209
253	750	2204
254	752	2199
255	755	2194
256	757	2189
257	759	2184
258	762	2180
259	764	2175
260	766	2170
261	768	2165
262	770	2160
263	773	2155
264	775	2150
265	777	2145
266	779	2140
267	781	2135
268	783	2129
269	786	2125
270	788	2120
271	790	2115
272	792	2110
273	794	2105
274	796	2099
275	798	2094
276	800	2089
277	802	2083
278	803	2075
279	804	2067
280	805	2060
281	805	2052
282	807	2044
283	807	2037
284	808	2029
285	809	2021
286	810	2014
287	811	2006
288	812	1999
289	813	1992
290	814	1985
291	815	1977
292	816	1970
293	817	1963
294	818	1956
295	819	1949
296	820	1942
297	821	1935
298	822	1928
299	823	1921
300	824	1914
301	825	1907
302	826	1900
303	827	1894
304	828	1887
305	829	1880
306	830	1873
307	830	1867
308	831	1860
309	832	1853
310	833	1847
311	834	1840
312	835	1834
313	836	1828
314	837	1821
315	838	1815
316	840	1809
317	841	1803
318	842	1797
319	843	1791
320	844	1785
321	845	1779
322	846	1773
323	847	1767
324	848	1761
325	849	1755
326	850	1749
327	851	1743
328	852	1737
329	853	1731
330	854	1727
331	855	1721
332	856	1716
333	857	1710
334	858	1704
335	859	1699
336	860	1693
337	861	1687
338	862	1682
339	863	1676
340	864	1671
341	865	1665
342	866	1660
343	867	1654
344	868	1649
345	869	1643
346	870	1638
347	871	1633
348	872	1627
349	873	1622
350	874	1616
351	875	1611
352	876	1606
353	877	1601
354	878	1596
355	879	1591
356	880	1586
357	882	1581
358	883	1577
359	884	1572
360	885	1567
361	886	1562
362	887	1558
363	889	1553
364	890	1549
365	891	1544
366	892	1539
367	894	1535
368	895	1531
369	896	1526
370	897	1522
371	899	1517
372	900	1513
373	901	1508
374	902	1504
375	903	1499
376	904	1494
377	905	1490
378	906	1485
379	908	1481
380	909	1476
381	910	1472
382	911	1468
383	912	1463
384	913	1459
385	915	1455
386	916	1451
387	917	1446
388	918	1442
389	919	1438
390	920	1433
391	921	1429
392	923	1425
393	924	1421
394	925	1417
395	926	1413
396	927	1409
397	929	1405
398	930	1401
399	931	1397
400	933	1393
401	934	1389
402	935	1386
403	936	1382
404	938	1378
405	939	1374
406	940	1370
407	941	1366
408	943	1363
409	944	1359
410	945	1355
411	947	1351
412	948	1347
413	949	1344
414	950	1340
415	951	1336
416	953	1332
417	954	1328
418	955	1324
419	956	1321
420	957	1316
421	958	1313
422	960	1309
423	961	1305
424	962	1302
425	963	1298
426	965	1295
427	966	1291
428	967	1288
429	969	1284
430	970	1281
431	971	1277
432	973	1274
433	974	1270
434	975	1267
435	976	1263
436	978	1260
437	979	1256
438	980	1253
439	981	1249
440	983	1246
441	984	1242
442	985	1239
443	986	1235
444	987	1232
445	989	1228
446	990	1225
447	991	1221
448	992	1218
449	993	1214
450	994	1211
451	996	1207
452	997	1203
453	998	1200
454	999	1197
